# parent_id,bud_id,time_index
-3,1,0
-3,2,0
-3,3,19
-3,4,20
-3,5,39
-3,6,40
-3,7,42
-3,8,60
-3,9,61
-3,10,62
-3,11,63
-3,12,67
-3,13,81
-3,14,82
-3,15,84
-3,16,85
-3,17,86
-3,18,90
-3,19,91
-3,20,93
-3,21,96
-3,22,96
-3,23,102
-3,24,103
-3,25,105
-3,26,106
-3,27,107
-3,28,110
-3,29,117
-3,30,117
-3,31,117
-3,32,118
-3,33,119
-3,34,120
-3,35,121
-3,36,125
-3,37,126
-3,38,128
-3,39,129
-3,40,129
-3,41,131
-3,42,133
-3,43,134
-3,44,135
-3,45,137
-3,46,141
-3,47,142
-3,48,144
-3,49,144
-3,50,145
-3,51,145
-3,52,146
-3,53,146
-3,54,147
-3,55,149
-3,56,150
-3,57,150
-3,58,151
-3,59,153
-3,60,153
-3,61,154
-3,62,155
-3,63,157
-3,64,159
-3,65,159
-3,66,159
-3,67,161
-3,68,162
-3,69,162
-3,70,162
-3,71,163
-3,72,163
-3,73,163
-3,74,164
-3,75,164
-3,76,167
-3,77,167
-3,78,167
-3,79,168
-3,80,168
-3,81,169
-3,82,170
-3,83,170
-3,84,171
-3,85,172
-3,86,174
-3,87,175
-3,88,175
-3,89,177
-3,90,177
-3,91,178
-3,92,178
-3,93,178
-3,94,178
-3,95,179
-3,96,180
-3,97,180
