# parent_id,bud_id,time_index
-1,1,0
-1,2,0
1,3,19
2,4,20
4,5,39
2,6,40
1,7,42
3,8,60
6,9,61
2,10,62
4,11,63
5,12,67
6,13,81
2,14,82
10,15,84
9,16,85
4,17,86
11,18,90
5,19,91
3,20,93
12,21,96
8,22,96
1,23,102
7,24,103
14,25,105
2,26,106
6,27,107
10,28,110
15,29,117
13,30,117
4,31,117
20,32,118
3,33,119
9,34,120
11,35,121
26,36,125
17,37,126
5,38,128
18,39,129
2,40,129
14,41,131
19,42,133
6,43,134
27,44,135
12,45,137
3,46,141
22,47,142
15,48,144
4,49,144
31,50,145
8,51,145
1,52,146
25,53,146
33,54,147
5,55,149
11,56,150
23,57,150
38,58,151
6,59,153
10,60,153
2,61,154
24,62,155
16,63,157
20,64,159
7,65,159
19,66,159
21,67,161
42,68,162
12,69,162
3,70,162
18,71,163
9,72,163
32,73,163
43,74,164
26,75,164
13,76,167
-2,77,167
46,78,167
23,79,168
4,80,168
45,81,169
5,82,170
36,83,170
28,84,171
25,85,172
55,86,174
37,87,175
49,88,175
6,89,177
15,90,177
24,91,178
50,92,178
77,93,178
47,94,178
33,95,179
27,96,180
8,97,180
